Time,Open,High,Low,Close,Volume,Date,Day,Month,Quarter,Year,Tomorrow,Target,Moving Average,MACD,Signal Line,RSI,Day_enc,Month_enc,Close_Ratio_2,Trend_2,Close_Ratio_5,Trend_5,Close_Ratio_60,Trend_60,Close_Ratio_250,Trend_250,Close_Ratio_1000,Trend_1000
2012-06-05 00:00,1.25261,1.25417,1.24098,1.2461,250965,2012-06-05,Tuesday,June,2,2012,1.25761,1,1.2587389999999998,-0.01428215771646979,-0.014826599474805814,54.72196041470313,3,6,0.9973946556423114,0.0,1.0024149343012376,1.0,0.9585726260500054,21.0,0.9247798703304406,113.0,0.9138385078464083,499.0
2012-06-06 00:00,1.2461,1.25851,1.24416,1.25761,270747,2012-06-06,Wednesday,June,2,2012,1.25673,0,1.257471,-0.01268605499676756,-0.014398490579198165,60.28439153439158,4,6,1.0045971777881624,1.0,1.0083806542555154,2.0,0.9679781826923703,22.0,0.9338081975589781,114.0,0.9224718254617965,500.0
2012-06-07 00:00,1.25755,1.26249,1.25398,1.25673,260644,2012-06-07,Thursday,June,2,2012,1.25159,0,1.2566355,-0.01136117617082677,-0.013791027697523887,66.57172071282496,2,6,0.999650007556655,1.0,1.0043667773279223,2.0,0.9679331189353992,21.0,0.9336245421545303,114.0,0.9220118865309032,500.0
2012-06-08 00:00,1.25673,1.25712,1.24353,1.25159,239760,2012-06-08,Friday,June,2,2012,1.26441,1,1.2555545,-0.010603722091576229,-0.013153566576334355,69.011205330103,0,6,0.9979508196721312,0.0,0.9989321014455739,1.0,0.9647883361122481,20.0,0.930268490891472,114.0,0.9184084708169854,500.0
2012-06-11 00:00,1.2644,1.26469,1.245,1.24769,256536,2012-06-11,Monday,June,2,2012,1.25,1,1.253759,-0.008738630358260169,-0.011584689794572327,62.55394770246259,1,6,0.9984395505905702,1.0,0.9966020844382816,2.0,0.9627124991207022,20.0,0.9278757037283784,115.0,0.9157103079481312,501.0
2012-06-12 00:00,1.24769,1.25287,1.24425,1.25,272234,2012-06-12,Tuesday,June,2,2012,1.25742,1,1.252403,-0.008354387230872895,-0.010938629281832441,61.19442252038937,3,6,1.0009248545656186,2.0,0.9978255385863127,3.0,0.965411121613354,20.0,0.9301074132685999,115.0,0.9175666962164739,502.0
2012-06-13 00:00,1.25,1.26098,1.24735,1.25742,269225,2012-06-13,Wednesday,June,2,2012,1.26258,1,1.2512139999999998,-0.0073662265215994616,-0.010224148729785845,59.649995853031434,4,6,1.002959217043814,2.0,1.0037790795139403,3.0,0.9719463868863273,21.0,0.9361549501052387,115.0,0.9231707307582571,502.0
2012-06-14 00:00,1.25741,1.26362,1.25415,1.26258,255611,2012-06-14,Thursday,June,2,2012,1.26381,1,1.251041,-0.006096457002691791,-0.009398610384367035,57.19539339978704,2,6,1.002047619047619,2.0,1.0069577367736007,4.0,0.9766629098146662,22.0,0.9405143623868627,115.0,0.9271052160664461,503.0
2012-06-15 00:00,1.26257,1.26642,1.2592,1.26381,216820,2012-06-15,Friday,June,2,2012,1.27038,1,1.2514284999999998,-0.004934028382434175,-0.008505693983980463,57.219183712181156,0,6,1.000486860698467,2.0,1.0059778715275014,5.0,0.9784094353287554,22.0,0.9419603197398558,115.0,0.9281479419980426,504.0
2012-06-18 00:00,1.27038,1.27272,1.25592,1.25959,262995,2012-06-18,Monday,June,2,2012,1.26788,1,1.252677,-0.0030962539004133482,-0.006613768993936768,50.76818606230372,1,6,0.9983276531663628,2.0,1.000722979629453,5.0,0.9761004853160135,22.0,0.9393598854407369,115.0,0.9251913400639163,504.0
